,Host Response Rate,Host Acceptance Rate,Host Listings Count,Bathrooms,Bedrooms,Beds,Price,Number of Reviews,Geolocation
0,98.0,96%,5,1.0,1.0,2.0,100.0,57,"42.28138962623448, -71.13119041987277"
1,100.0,100%,2,1.0,1.0,1.0,75.0,1,"42.29181491557826, -71.1315879343071"
2,100.0,89%,2,1.0,1.0,1.0,67.0,20,"42.28208581195228, -71.1333486774579"
3,98.0,96%,5,2.5,3.0,7.0,200.0,82,"42.28214228250037, -71.12904915306451"
4,100.0,83%,1,2.0,1.0,1.0,45.0,5,"42.27636367614069, -71.13643292507432"
5,100.0,100%,1,1.0,1.0,1.0,65.0,0,"42.293924644315325, -71.1354893588797"
7,100.0,75%,1,1.0,1.0,1.0,85.0,22,"42.3131970326139, -71.1183236209181"
8,100.0,56%,3,2.5,1.0,1.0,70.0,9,"42.314064798157865, -71.09905545857005"
9,100.0,25%,1,1.0,2.0,2.0,200.0,32,"42.309049862943375, -71.11253858596702"
10,100.0,78%,8,1.0,1.0,1.0,107.0,20,"42.30508831134012, -71.10735816883991"
11,100.0,100%,4,1.0,1.0,1.0,60.0,169,"42.29558694639871, -71.11941563945955"
12,100.0,92%,2,1.0,2.0,2.0,225.0,8,"42.31686601781734, -71.10254447357467"
13,90.0,100%,1,1.0,1.0,1.0,95.0,55,"42.31509938985096, -71.11107897137123"
14,97.0,86%,1,1.0,1.0,1.0,46.0,31,"42.29050283678629, -71.11642163691592"
15,100.0,88%,1,1.0,2.0,3.0,130.0,19,"42.32274731213835, -71.11033370632222"
16,100.0,93%,2,1.0,1.0,2.0,95.0,15,"42.32411923510956, -71.10669945356153"
17,100.0,78%,8,1.0,1.0,1.0,125.0,10,"42.305142129994884, -71.10732685642546"
18,90.0,100%,2,1.0,3.0,4.0,275.0,57,"42.318859647590706, -71.11451513447908"
19,100.0,100%,2,2.5,3.0,3.0,300.0,5,"42.3116187482491, -71.10910186178728"
21,100.0,91%,1,1.0,0.0,1.0,99.0,7,"42.31446165291016, -71.11391762627706"
22,100.0,78%,8,1.0,1.0,1.0,85.0,14,"42.30596576341033, -71.1087761022673"
23,100.0,100%,3,1.0,1.0,1.0,70.0,6,"42.333957003534536, -71.10229828387978"
24,100.0,100%,4,1.0,1.0,1.0,90.0,0,"42.33218318025737, -71.09989420032309"
25,96.0,68%,313,1.0,2.0,3.0,272.0,1,"42.334044880187555, -71.10287797077414"
26,100.0,89%,2,1.0,1.0,2.0,45.0,19,"42.33070273607674, -71.09999868362854"
27,100.0,100%,2,1.0,1.0,1.0,84.0,158,"42.33886860712996, -71.10709963799906"
28,96.0,55%,1,1.0,1.0,2.0,75.0,0,"42.342620024001896, -71.10362749572894"
29,98.0,55%,749,1.0,1.0,1.0,129.0,0,"42.3497134913012, -71.06985265838696"
30,100.0,97%,13,1.0,1.0,1.0,185.0,36,"42.34898803932816, -71.06049315314665"
31,100.0,94%,11,1.0,0.0,2.0,109.0,58,"42.34884035947795, -71.0638387110802"
32,100.0,75%,1,1.0,0.0,1.0,120.0,13,"42.350297255857136, -71.06231125003633"
34,100.0,94%,1,2.0,2.0,2.0,250.0,37,"42.36366047776044, -71.05023194381583"
35,100.0,0%,1,1.0,1.0,4.0,300.0,6,"42.363032256816815, -71.05088801303482"
36,100.0,100%,1,1.0,1.0,1.0,179.0,24,"42.36564449319875, -71.0553714303057"
37,100.0,98%,6,1.0,1.0,1.0,65.0,9,"42.33588187857079, -71.08310262017217"
38,100.0,99%,2,1.0,1.0,2.0,89.0,42,"42.322959923340065, -71.06985374731195"
39,90.0,80%,3,1.0,1.0,1.0,90.0,8,"42.3161082725762, -71.07411923664306"
40,100.0,90%,7,1.0,1.0,2.0,195.0,47,"42.329940605699676, -71.093505106791"
41,100.0,100%,1,1.0,1.0,1.0,114.0,7,"42.327383522052074, -71.09471433492095"
42,33.0,67%,1,1.0,1.0,1.0,75.0,0,"42.339793473451174, -71.0822644347498"
43,56.0,100%,1,1.0,1.0,1.0,35.0,43,"42.32460041087129, -71.0979985835117"
44,100.0,29%,2,1.0,1.0,1.0,195.0,5,"42.34458195041722, -71.07551295903801"
45,89.0,45%,558,1.0,1.0,1.0,279.0,4,"42.34258590158319, -71.07969075832185"
46,71.0,98%,363,2.0,2.0,2.0,299.0,18,"42.34549102547901, -71.06242223492261"
47,100.0,0%,1,1.0,1.0,1.0,168.0,4,"42.34447431637321, -71.07698271329764"
48,100.0,93%,1,1.0,1.0,1.0,99.0,78,"42.33533589134802, -71.07425652058345"
49,100.0,100%,1,2.0,2.0,2.0,275.0,1,"42.34337256743142, -71.0695136811169"
50,71.0,98%,363,1.0,1.0,2.0,179.0,33,"42.345790453343284, -71.06343694207713"
51,100.0,56%,1,1.0,2.0,2.0,250.0,13,"42.336832594946884, -71.06949729685238"
52,100.0,43%,1,1.0,2.0,1.0,200.0,6,"42.344140993510656, -71.07226296920035"
54,70.0,100%,1,1.0,1.0,2.0,220.0,4,"42.34592824984945, -71.0739802341601"
55,100.0,91%,52,1.0,0.0,1.0,148.0,1,"42.34935164400062, -71.08201364187337"
56,90.0,100%,1,1.0,1.0,2.0,225.0,7,"42.349748750356035, -71.07856759744332"
57,98.0,55%,749,2.0,2.0,2.0,319.0,0,"42.346439299928484, -71.07919862090826"
58,98.0,55%,749,2.0,2.0,2.0,319.0,1,"42.34668654972698, -71.07918967241031"
59,89.0,45%,558,3.0,3.0,3.0,399.0,29,"42.35459064861711, -71.07238092387315"
60,100.0,100%,1,1.0,1.0,2.0,200.0,3,"42.350665618860226, -71.07915281568916"
61,100.0,100%,1,1.0,0.0,2.0,100.0,3,"42.35371866549875, -71.07838108749515"
62,91.0,100%,1,1.0,1.0,1.0,225.0,0,"42.35296929099229, -71.07923603840048"
63,89.0,45%,558,1.0,2.0,2.0,329.0,11,"42.34642477551046, -71.07827018647993"
65,100.0,100%,1,1.0,1.0,1.0,248.0,50,"42.349757160919, -71.08775450314117"
66,100.0,100%,1,1.0,1.0,1.0,133.0,9,"42.375658664017465, -71.03266072695862"
67,100.0,100%,3,1.0,2.0,2.0,250.0,1,"42.376947355304885, -71.03023023664814"
68,100.0,100%,4,1.0,3.0,3.0,150.0,59,"42.375742670698116, -71.03180237149311"
69,100.0,100%,1,1.0,1.0,1.0,80.0,1,"42.38921070848658, -71.00268251833265"
70,100.0,99%,3,1.0,1.0,1.0,105.0,198,"42.36781282979623, -71.03485019599802"
71,100.0,86%,2,1.0,1.0,1.0,95.0,2,"42.3881729883446, -71.01272170912009"
72,100.0,100%,4,1.0,2.0,2.0,181.0,71,"42.374965748226955, -71.03336978152277"
74,100.0,100%,20,2.0,1.0,2.0,72.0,75,"42.386618593245366, -71.00525682071361"
75,100.0,100%,1,1.5,3.0,3.0,299.0,26,"42.3788981259316, -71.06118225546153"
76,100.0,91%,37,1.0,1.0,2.0,150.0,1,"42.37423370980447, -71.06215495192623"
77,100.0,89%,10,1.0,3.0,3.0,195.0,18,"42.3826927598642, -71.07809993795176"
79,100.0,48%,1,1.0,1.0,1.0,150.0,11,"42.373949253367385, -71.06128123238629"
80,100.0,100%,1,1.0,2.0,3.0,169.0,50,"42.377387032265055, -71.06043519614649"
81,98.0,55%,749,2.0,2.0,2.0,199.0,0,"42.365474679046216, -71.06891649349022"
82,100.0,93%,12,1.0,1.0,1.0,110.0,11,"42.35866925366806, -71.06331526509506"
84,92.0,76%,2,1.0,1.0,1.0,155.0,24,"42.35997590586026, -71.06678112347387"
85,100.0,0%,4,1.0,1.0,1.0,85.0,13,"42.36090969048259, -71.06510423932899"
86,100.0,92%,2,1.0,1.0,1.0,140.0,1,"42.360603239442625, -71.06692981913989"
87,100.0,75%,1,1.0,1.0,1.0,179.0,51,"42.35915042089938, -71.06792989063233"
88,100.0,87%,1,1.0,1.0,2.0,188.0,18,"42.36057008547229, -71.06815773706349"
89,100.0,100%,3,2.5,1.0,1.0,85.0,0,"42.34977527729296, -71.170850306103"
90,67.0,67%,1,1.0,1.0,1.0,40.0,2,"42.34648098163572, -71.13848571540692"
91,100.0,62%,2,1.5,1.0,1.0,72.0,15,"42.347726006033604, -71.16658340254278"
92,100.0,80%,1,2.0,1.0,1.0,125.0,0,"42.341130819581544, -71.15979540402338"
93,95.0,99%,6,2.0,1.0,1.0,60.0,60,"42.35159256998726, -71.14421128838609"
94,100.0,100%,2,1.0,1.0,2.0,75.0,23,"42.27176296590555, -71.0714474812458"
95,100.0,100%,1,1.5,2.0,3.0,150.0,29,"42.273669017793544, -71.07709408057416"
96,100.0,100%,1,1.0,1.0,1.0,115.0,45,"42.31172878694962, -71.0610301964095"
97,100.0,94%,2,1.0,1.0,1.0,100.0,62,"42.292631326170365, -71.05575036336552"
98,79.0,100%,18,1.0,1.0,1.0,65.0,4,"42.31339234536343, -71.05665201343925"
99,73.0,91%,10,1.0,2.0,2.0,125.0,12,"42.321889409331035, -71.0618292667287"
100,67.0,100%,2,1.0,1.0,1.0,80.0,0,"42.297288605920436, -71.05654508270585"
101,70.0,67%,1,1.0,0.0,2.0,129.0,2,"42.310428004089474, -71.07530388438023"
102,80.0,75%,1,1.5,3.0,2.0,300.0,18,"42.310578567378606, -71.05507122762137"
103,73.0,91%,10,1.0,2.0,3.0,125.0,11,"42.289813120382924, -71.059004563947"
104,93.0,57%,17,1.0,1.0,1.0,39.0,1,"42.304372794658335, -71.07193226049871"
106,100.0,100%,7,1.0,0.0,2.0,99.0,174,"42.361079422623845, -71.06562533879614"
107,89.0,45%,558,2.0,2.0,2.0,329.0,2,"42.36427675343777, -71.0592995488237"
109,89.0,45%,558,1.0,1.0,1.0,209.0,0,"42.351023387830374, -71.06379302586521"
110,63.0,100%,1,1.0,2.0,2.0,199.0,0,"42.35071565807057, -71.0642900899851"
